AppID,Name,Release date,Estimated owners,Price,Supported languages,Metacritic score,User score,Positive,Negative,Recommendations,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Steam score,Lower,Upper,Earnings Range
620,Portal 2,"Apr 18, 2011",10000000 - 20000000,9.99,"['English', 'French', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish']",95,0,298300,3638,243925,874,514,Valve,Valve,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Workshop,Steam Cloud,Stats,Includes level editor,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Adventure",99,10000000,20000000,"(99900000.0, 199800000.0)"
659,Portal 2,"Apr 18, 2011",0 - 20000,9.99,"['English', 'French', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish']",95,0,153381,2059,243925,0,0,Valve,Valve,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Workshop,Steam Cloud,Stats,Includes level editor,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Adventure",99,0,20000,"(0.0, 199800.0)"
1145360,Hades,"Sep 17, 2020",5000000 - 10000000,24.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Polish', 'Japanese']",93,0,190880,2662,178350,2075,1330,Supergiant Games,Supergiant Games,"Single-player,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie,RPG",99,5000000,10000000,"(124949999.99999999, 249899999.99999997)"
57400,Batman: Arkham City,"Nov 15, 2011",20000 - 50000,0.0,"['English', 'French', 'German', 'Italian', 'Polish', 'Portuguese - Brazil', 'Russian', 'Spanish - Spain']",91,0,1966,26,1460,1740,1167,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Adventure",99,20000,50000,"(0.0, 0.0)"
324160,CLANNAD,"Nov 23, 2015",100000 - 200000,44.99,"['English', 'Simplified Chinese']",83,0,6076,86,5544,2837,2463,VisualArts/Key,Sekai Project,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Casual",99,100000,200000,"(4499000.0, 8998000.0)"
1055540,A Short Hike,"Jul 30, 2019",100000 - 200000,7.99,"['English', 'French', 'Spanish - Latin America', 'Japanese', 'Portuguese - Brazil']",82,0,10937,81,9137,152,233,adamgryu,adamgryu,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Adventure,Indie",99,100000,200000,"(799000.0, 1598000.0)"
1307580,TOEM,"Sep 17, 2021",20000 - 50000,19.99,"['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Russian', 'Korean', 'Portuguese - Brazil', 'Swedish', 'Traditional Chinese', 'Turkish']",79,0,1125,16,941,178,178,Something We Made,Something We Made,"Single-player,Steam Achievements,Full controller support,Captions available,Steam Cloud","Adventure,Casual,Indie",99,20000,50000,"(399799.99999999994, 999499.9999999999)"
13230,Unreal Tournament 2004: Editor's Choice Edition,"Mar 17, 2004",500000 - 1000000,14.99,['English'],93,0,3359,84,2970,186,132,"Epic Games, Inc.","Epic Games, Inc.","Single-player,Multi-player,Steam Trading Cards",Action,98,500000,1000000,"(7495000.0, 14990000.0)"
546560,Half-Life: Alyx,"Mar 23, 2020",2000000 - 5000000,59.99,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Italian', 'Czech', 'Hungarian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Ukrainian', 'Vietnamese', 'Bulgarian', 'Greek', 'Danish', 'Dutch', 'Norwegian', 'Romanian', 'Thai', 'Turkish', 'Finnish', 'Swedish']",93,0,71580,1112,62400,802,226,Valve,Valve,"Single-player,Steam Achievements,Captions available,VR Support,Steam Workshop,Includes level editor","Action,Adventure",98,2000000,5000000,"(119980000.0, 299950000.0)"
205100,Dishonored,"Oct 8, 2012",2000000 - 5000000,9.99,"['English', 'German', 'French', 'Italian', 'Spanish - Spain']",91,0,66292,1696,51274,757,417,Arkane Studios,Bethesda Softworks,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Tablet,Remote Play on TV","Action,Adventure",98,2000000,5000000,"(19980000.0, 49950000.0)"
